#feature                                                         ;occurence
CONFIG_HAVE_IRQ_TIME_ACCOUNTING                                 ;100
CONFIG_HAVE_ARCH_TRANSPARENT_HUGEPAGE                           ;100
CONFIG_HAVE_ARCH_HUGE_VMAP                                      ;80
CONFIG_MODULES_USE_ELF_REL                                      ;48
CONFIG_ARCH_HAS_ELF_RANDOMIZE                                   ;100
CONFIG_HAVE_ARCH_MMAP_RND_BITS                                  ;100
CONFIG_HAVE_EXIT_THREAD                                         ;100
CONFIG_ARCH_MMAP_RND_BITS                                       ;100
CONFIG_HAVE_COPY_THREAD_TLS                                     ;100
CONFIG_CLONE_BACKWARDS                                          ;48
CONFIG_OLD_SIGSUSPEND3                                          ;77
CONFIG_OLD_SIGACTION                                            ;48
CONFIG_ARCH_HAS_STRICT_KERNEL_RWX                               ;100
CONFIG_STRICT_KERNEL_RWX                                        ;100
CONFIG_ARCH_HAS_STRICT_MODULE_RWX                               ;100
CONFIG_GCOV_KERNEL                                              ;55
CONFIG_ARCH_HAS_GCOV_PROFILE_ALL                                ;100
CONFIG_GCOV_FORMAT_AUTODETECT                                   ;22
CONFIG_HAVE_GENERIC_DMA_COHERENT                                ;48
CONFIG_RT_MUTEXES                                               ;99
CONFIG_BASE_SMALL                                               ;100
CONFIG_MODULES_TREE_LOOKUP                                      ;100
CONFIG_BLOCK                                                    ;60
CONFIG_BLK_SCSI_REQUEST                                         ;60
CONFIG_BLK_DEV_BSG                                              ;58
CONFIG_BLK_DEV_BSGLIB                                           ;48
CONFIG_BLK_CMDLINE_PARSER                                       ;38
CONFIG_BLK_WBT                                                  ;31
CONFIG_BLK_WBT_MQ                                               ;18
CONFIG_BLK_SED_OPAL                                             ;25
CONFIG_PARTITION_ADVANCED                                       ;35
CONFIG_ACORN_PARTITION                                          ;19
CONFIG_ACORN_PARTITION_CUMANA                                   ;11
CONFIG_ACORN_PARTITION_EESOX                                    ;10
CONFIG_ACORN_PARTITION_ICS                                      ;8
CONFIG_ACORN_PARTITION_POWERTEC                                 ;9
CONFIG_ACORN_PARTITION_RISCIX                                   ;12
CONFIG_AIX_PARTITION                                            ;14
CONFIG_OSF_PARTITION                                            ;22
CONFIG_MAC_PARTITION                                            ;21
CONFIG_SGI_PARTITION                                            ;20
CONFIG_KARMA_PARTITION                                          ;19
CONFIG_SYSV68_PARTITION                                         ;18
CONFIG_BLK_MQ_VIRTIO                                            ;58
CONFIG_IOSCHED_NOOP                                             ;60
CONFIG_IOSCHED_DEADLINE                                         ;37
CONFIG_IOSCHED_CFQ                                              ;38
CONFIG_DEFAULT_CFQ                                              ;20
CONFIG_DEFAULT_IOSCHED                                          ;60
CONFIG_MQ_IOSCHED_DEADLINE                                      ;32
CONFIG_MQ_IOSCHED_KYBER                                         ;40
CONFIG_UNINLINE_SPIN_UNLOCK                                     ;91
CONFIG_ARCH_SUPPORTS_ATOMIC_RMW                                 ;100
CONFIG_ARCH_USE_QUEUED_SPINLOCKS                                ;100
CONFIG_ARCH_USE_QUEUED_RWLOCKS                                  ;100
CONFIG_FREEZER                                                  ;73
CONFIG_X86_FEATURE_NAMES                                        ;92
CONFIG_X86_FAST_FEATURE_TESTS                                   ;77
CONFIG_X86_EXTENDED_PLATFORM                                    ;56
CONFIG_X86_GOLDFISH                                             ;26
CONFIG_IOSF_MBI                                                 ;75
CONFIG_IOSF_MBI_DEBUG                                           ;38
CONFIG_X86_RDC321X                                              ;13
CONFIG_X86_SUPPORTS_MEMORY_FAILURE                              ;46
CONFIG_SCHED_OMIT_FRAME_POINTER                                 ;50
CONFIG_NO_BOOTMEM                                               ;100
CONFIG_MGEODEGX1                                                ;2
CONFIG_X86_INTERNODE_CACHE_SHIFT                                ;100
