xp; xp_val; conf; conf_val
DVB_AU8522_DTV; y; DVB_AU8522_DTV; y
SND_SOC_AK4613; y; SND_SOC_AK4613; y
NET_SCH_DEFAULT; y; NET_SCH_DEFAULT; y
VIDEO_MUX; y; VIDEO_MUX; y
MEDIA_CONTROLLER; y; MEDIA_CONTROLLER; y
VIDEO_V4L2_SUBDEV_API; y; VIDEO_V4L2_SUBDEV_API; y
V4L_PLATFORM_DRIVERS; y; V4L_PLATFORM_DRIVERS; y
MTD_CFI_GEOMETRY; y; MTD_CFI_GEOMETRY; y
MTD_MAP_BANK_WIDTH_4; y; MTD_MAP_BANK_WIDTH_4; y
WLAN_VENDOR_ATH; y; WLAN_VENDOR_ATH; y
DEBUG_FS; y; DEBUG_FS; y
DM_VERITY; y; DM_VERITY; y
PARPORT; y; PARPORT; y
IP_NF_IPTABLES; y; IP_NF_IPTABLES; y
VIRT_TO_BUS; y; VIRT_TO_BUS; y
EVENTFD; y; EVENTFD; y
NET_CORE; y; NET_CORE; y
BLOCK; y; BLOCK; y
IOSCHED_NOOP; y; IOSCHED_NOOP; y
SND_SOC_TEGRA_TRIMSLICE; y; SND_SOC_TEGRA_TRIMSLICE; y
INPUT_TOUCHSCREEN; y; INPUT_TOUCHSCREEN; y
RAPIDIO; y; RAPIDIO; y
ASYNC_TX_ENABLE_CHANNEL_SWITCH; y; ASYNC_TX_ENABLE_CHANNEL_SWITCH; y
MV_XOR; y; MV_XOR; y
CFG80211; y; CFG80211; y
IMA_DEFAULT_HASH; ""; ; 
PHYLIB; y; PHYLIB; y
IO_DELAY_TYPE_NONE; 1; IO_DELAY_TYPE_NONE; 3
MTD_NAND; y; MTD_NAND; y
L2TP; y; L2TP; y
DVB_USB_ANYSEE; y; DVB_USB_ANYSEE; y
EXTCON; y; EXTCON; y
VIDEO_PVRUSB2; y; VIDEO_PVRUSB2; y
VIDEO_PVRUSB2_DVB; y; VIDEO_PVRUSB2_DVB; y
CRYPTO_MANAGER2; y; CRYPTO_MANAGER2; y
CRYPTO_MANAGER; y; CRYPTO_MANAGER; y
CRYPTO_ALGAPI; y; CRYPTO_ALGAPI; y
SND_SIMPLE_SCU_CARD; y; SND_SIMPLE_SCU_CARD; y
CRYPTO_DH; y; CRYPTO_DH; y
KEYS; y; KEYS; y
CRYPTO_DEV_QAT; y; CRYPTO_DEV_QAT; y
CRYPTO_HW; y; CRYPTO_HW; y
WLAN_VENDOR_INTEL; y; WLAN_VENDOR_INTEL; y
IR_IMON; y; IR_IMON; y
INPUT_MISC; y; INPUT_MISC; y
USB_ARCH_HAS_HCD; y; USB_ARCH_HAS_HCD; y
INPUT_MOUSE; y; INPUT_MOUSE; y
DRM; y; DRM; y
DRM_UDL; y; DRM_UDL; y
HID; y; HID; y
MSNDPIN_IO; 290; ; 
NVME_CORE; y; NVME_CORE; y
NVME_TARGET_FC; y; NVME_TARGET_FC; y
NVME_TARGET; y; NVME_TARGET; y
NVME_TARGET_FCLOOP; y; NVME_TARGET_FCLOOP; y
APB_TIMER; y; APB_TIMER; y
SFI; y; SFI; y
RT2X00; y; RT2X00; y
WLAN_VENDOR_RALINK; y; WLAN_VENDOR_RALINK; y
RT2800PCI; y; RT2800PCI; y
IOMMU_SUPPORT; y; IOMMU_SUPPORT; y
SCSI_SMARTPQI; y; SCSI_SMARTPQI; y
IPV6; y; IPV6; y
SYSFS; y; SYSFS; y
SND_SOC_ROCKCHIP_I2S; y; SND_SOC_ROCKCHIP_I2S; y
CLKDEV_LOOKUP; y; CLKDEV_LOOKUP; y
SND_SOC_ROCKCHIP; y; SND_SOC_ROCKCHIP; y
SND_SOC_RK3399_GRU_SOUND; y; SND_SOC_RK3399_GRU_SOUND; y
SND_SOC_RK3288_HDMI_ANALOG; y; SND_SOC_RK3288_HDMI_ANALOG; y
VIDEO_MT9M032; y; VIDEO_MT9M032; y
NEED_PER_CPU_KM; y; NEED_PER_CPU_KM; y
TRACING_SUPPORT; y; TRACING_SUPPORT; y
SERIAL_SH_SCI; y; SERIAL_SH_SCI; y
FUTEX; y; FUTEX; y
RT_MUTEXES; y; RT_MUTEXES; y
FUTEX_PI; y; FUTEX_PI; y
USB_STORAGE; y; USB_STORAGE; y
X86_DEV_DMA_OPS; y; X86_DEV_DMA_OPS; y
X86_VSYSCALL_EMULATION; y; X86_VSYSCALL_EMULATION; y
DMA_ENGINE; y; DMA_ENGINE; y
INTEL_IOATDMA; y; INTEL_IOATDMA; y
DMA_ENGINE_RAID; y; DMA_ENGINE_RAID; y
SND_SOC_WM8971; y; SND_SOC_WM8971; y
VLAN_8021Q; y; VLAN_8021Q; y
DEFAULT_SECURITY_DAC; y; DEFAULT_SECURITY_DAC; y
HAVE_ARCH_WITHIN_STACK_FRAMES; y; HAVE_ARCH_WITHIN_STACK_FRAMES; y
FB_SSD1307; y; FB_SSD1307; y
PANEL_PROFILE; 1; PANEL_PROFILE; 1
PANEL_LCD; 1; ; 
PANEL; y; PANEL; y
PANEL_LCD_BWIDTH; 1; ; 
DRM_KMS_HELPER; y; DRM_KMS_HELPER; y
HIBERNATE_CALLBACKS; y; HIBERNATE_CALLBACKS; y
PM_SLEEP; y; PM_SLEEP; y
SND_SEQUENCER; y; SND_SEQUENCER; y
IP6_NF_NAT; y; IP6_NF_NAT; y
IP6_NF_IPTABLES; y; IP6_NF_IPTABLES; y
RESET_CONTROLLER; y; RESET_CONTROLLER; y
SND_AUDIO_GRAPH_CARD; y; SND_AUDIO_GRAPH_CARD; y
SERIO; y; SERIO; y
COMEDI_NI_LABPC_PCI; y; COMEDI_NI_LABPC_PCI; y
COMEDI_PCI_DRIVERS; y; COMEDI_PCI_DRIVERS; y
DVB_MB86A16; y; DVB_MB86A16; y
DVB_MANTIS; y; DVB_MANTIS; y
MANTIS_CORE; y; MANTIS_CORE; y
MTD_CFI; y; MTD_CFI; y
PANEL_LCD_WIDTH; 1; ; 
GENERIC_CLOCKEVENTS; y; GENERIC_CLOCKEVENTS; y
MAC80211; y; MAC80211; y
ISO9660_FS; y; ISO9660_FS; y
ZISOFS; y; ZISOFS; y
