option,type
PERF_USE_VMALLOC,BOOL
DVB_TTUSB_BUDGET,TRISTATE
SOUND_WAVEARTIST,TRISTATE
COMMON_CLK,BOOL
TEST_HEXDUMP,TRISTATE
HAVE_OPTPROBES,BOOL
OPENVSWITCH_GRE,TRISTATE
NFC_S3FWRN5,TRISTATE
VIDEO_STI_BDISP,TRISTATE
EDAC_SYNOPSYS,TRISTATE
PC104,BOOL
X86_INTEL_LPSS,BOOL
SPI_EP93XX,TRISTATE
IR_MCEUSB,TRISTATE
DVB_CX22700,TRISTATE
SOUND_KAHLUA,TRISTATE
JZ4780_NEMC,BOOL
TEST_STRING_HELPERS,TRISTATE
HAVE_PCSPKR_PLATFORM,BOOL
OPENVSWITCH_VXLAN,TRISTATE
NFC_S3FWRN5_I2C,TRISTATE
VIDEO_STI_HVA,TRISTATE
EDAC_XGENE,TRISTATE
PROFILING,BOOL
MTD_NAND_FSMC,TRISTATE
SPI_FALCON,BOOL
PINCTRL,BOOL
DVB_VES1820,TRISTATE
HID_BATTERY_STRENGTH,BOOL
TEST_KSTRTOX,TRISTATE
INET_ESP,TRISTATE
HISAX_DEBUG,BOOL
HW_RANDOM_INTEL,TRISTATE
SND_SIMPLE_CARD_UTILS,TRISTATE
CLKSRC_IMX_GPT,BOOL
PWM_CROS_EC,TRISTATE
B43LEGACY_LEDS,BOOL
TOUCHSCREEN_ELO,TRISTATE
SND_DA830_SOC_EVM,TRISTATE
CIFS_STATS,BOOL
HISAX_SEDLBAUER_CS,TRISTATE
HW_RANDOM_AMD,TRISTATE
SND_SH7760_AC97,TRISTATE
CLKSRC_IMX_TPM,BOOL
PWM_EP93XX,TRISTATE
CRYPTO_AUTHENC,TRISTATE
B43LEGACY_HWRNG,BOOL
CIFS_STATS2,BOOL
BH1750,TRISTATE
HISAX_ELSA_CS,TRISTATE
TOUCHSCREEN_WACOM_W8001,TRISTATE
HW_RANDOM_ATMEL,TRISTATE
SND_SIU_MIGOR,TRISTATE
CLKSRC_ST_LPC,BOOL
PWM_FSL_FTM,TRISTATE
CRYPTO_CBC,TRISTATE
ASYMMETRIC_KEY_TYPE,BOOL
B43LEGACY_DEBUG,BOOL
SND_DA850_SOC_EVM,TRISTATE
CIFS_ALLOW_INSECURE_LEGACY,BOOL
HISAX_AVM_A1_CS,TRISTATE
HW_RANDOM_BCM63XX,TRISTATE
SND_SOC_WM8978,TRISTATE
ARM_MHU,TRISTATE
PWM_HIBVT,TRISTATE
CRYPTO_DES,TRISTATE
B43LEGACY_DMA,BOOL
TOUCHSCREEN_WACOM_I2C,TRISTATE
CIFS_WEAK_PW_HASH,BOOL
HISAX_TELES_CS,TRISTATE
HW_RANDOM_BCM2835,TRISTATE
SND_SOC_SIRF,TRISTATE
PWM_IMG,TRISTATE
CRYPTO_ECHAINIV,TRISTATE
B43LEGACY_PIO,BOOL
TOUCHSCREEN_LPC32XX,TRISTATE
SND_DESIGNWARE_I2S,TRISTATE
PLATFORM_MHU,TRISTATE
CIFS_UPCALL,BOOL
INET_ESP_OFFLOAD,TRISTATE
